trial,search_mode,family,apparent_long_memory_score,finite_saturation_detected,nonstationarity_detected,grid_ceiling_only,detector_positive,ground_truth_is_hard_null,false_positive
62,random,N7_colored_noise,0.9562265055973677,True,False,False,False,True,False
63,random,N8_measurement_filter,0.9340680349872998,True,False,False,False,True,False
64,random,N1_large_but_finite_AR,0.8969151410080722,True,False,False,False,True,False
65,random,N2_high_dimensional_SSM,0.6878689507726315,True,False,False,False,True,False
66,random,N3_many_exponential_kernel,0.9039748639178573,True,False,False,False,True,False
67,random,N4_slow_common_driver,0.5951896395949924,True,False,False,False,True,False
68,random,N5_nonstationary_drift,0.6160830818634814,False,True,False,False,True,False
69,random,N6_switching_regime,0.6136029589396194,False,True,False,False,True,False
70,random,N7_colored_noise,0.6192333520755766,True,False,False,False,True,False
71,random,N8_measurement_filter,0.7670986857290836,True,False,False,False,True,False
72,random,N1_large_but_finite_AR,0.8859495323717831,True,False,False,False,True,False
73,random,N2_high_dimensional_SSM,0.7416102132957969,True,False,False,False,True,False
74,random,N3_many_exponential_kernel,0.9585212382869155,True,False,False,False,True,False
75,random,N4_slow_common_driver,0.8595409309238142,True,False,False,False,True,False
76,random,N5_nonstationary_drift,0.8479287145103037,False,True,False,False,True,False
77,random,N6_switching_regime,0.6613132811239985,False,True,False,False,True,False
78,random,N7_colored_noise,0.5422990545729999,True,False,False,False,True,False
79,random,N8_measurement_filter,0.9555253253722832,True,False,False,False,True,False
80,random,N1_large_but_finite_AR,0.7993674044829572,True,False,False,False,True,False
81,random,N2_high_dimensional_SSM,0.8534453504156257,True,False,False,False,True,False
82,random,N3_many_exponential_kernel,0.6784656747858735,True,False,False,False,True,False
83,random,N4_slow_common_driver,0.7678413417210428,True,False,False,False,True,False
84,random,N5_nonstationary_drift,0.6665641908472697,False,True,False,False,True,False
85,random,N6_switching_regime,0.6532675151556365,False,True,False,False,True,False
86,random,N7_colored_noise,0.6985140164488433,True,False,False,False,True,False
87,random,N8_measurement_filter,0.559599447794325,True,False,False,False,True,False
88,random,N1_large_but_finite_AR,0.7570346813876807,True,False,False,False,True,False
89,random,N2_high_dimensional_SSM,0.773085790789768,True,False,False,False,True,False
90,random,N3_many_exponential_kernel,0.7421629616018306,True,False,False,False,True,False
91,random,N4_slow_common_driver,0.6136050974662343,True,False,False,False,True,False
92,random,N5_nonstationary_drift,0.7129739458896872,False,True,False,False,True,False
93,random,N6_switching_regime,0.6271744257104132,False,True,False,False,True,False
94,random,N7_colored_noise,0.7858593521765359,True,False,False,False,True,False
95,random,N8_measurement_filter,0.7488341672549926,True,False,False,False,True,False
96,random,N1_large_but_finite_AR,0.7554814536859003,True,False,False,False,True,False
97,random,N2_high_dimensional_SSM,0.5268316494448875,True,False,False,False,True,False
98,random,N3_many_exponential_kernel,0.9027354367671473,True,False,False,False,True,False
99,random,N4_slow_common_driver,0.8463305730928604,True,False,False,False,True,False
100,random,N5_nonstationary_drift,0.8520105729228217,False,True,False,False,True,False
101,random,N6_switching_regime,0.5621469588960948,False,True,False,False,True,False
102,random,N7_colored_noise,0.5586920434207197,True,False,False,False,True,False
103,random,N8_measurement_filter,0.7101168434905714,True,False,False,False,True,False
104,random,N1_large_but_finite_AR,0.6639733424568036,True,False,False,False,True,False
105,random,N2_high_dimensional_SSM,0.6233977888916648,True,False,False,False,True,False
106,random,N3_many_exponential_kernel,0.9022736289924401,True,False,False,False,True,False
107,random,N4_slow_common_driver,0.8298441011456099,True,False,False,False,True,False
108,random,N5_nonstationary_drift,0.9218735616978377,False,True,False,False,True,False
109,random,N6_switching_regime,0.8662557947042813,False,True,False,False,True,False
110,random,N7_colored_noise,0.7140509113997683,True,False,False,False,True,False
111,random,N8_measurement_filter,0.5729741600945969,True,False,False,False,True,False
112,random,N1_large_but_finite_AR,0.8392741416180555,True,False,False,False,True,False
113,random,N2_high_dimensional_SSM,0.9653816257964376,True,False,True,False,True,False
114,random,N3_many_exponential_kernel,0.6524659397064023,True,False,False,False,True,False
115,random,N4_slow_common_driver,0.6606561256838613,True,False,False,False,True,False
116,random,N5_nonstationary_drift,0.7192929844956052,False,True,False,False,True,False
117,random,N6_switching_regime,0.8989923467864186,False,True,False,False,True,False
118,random,N7_colored_noise,0.8209407901184542,True,False,False,False,True,False
119,random,N8_measurement_filter,0.7055864600455969,True,False,False,False,True,False
120,random,N1_large_but_finite_AR,0.9144664750559562,True,False,False,False,True,False
121,random,N2_high_dimensional_SSM,0.7081570719601076,True,False,False,False,True,False
122,random,N3_many_exponential_kernel,0.828861293472132,True,False,False,False,True,False
123,random,N4_slow_common_driver,0.6957914257475961,True,False,False,False,True,False
124,random,N5_nonstationary_drift,0.8960933719570366,False,True,False,False,True,False
125,random,N6_switching_regime,0.9005226066892091,False,True,False,False,True,False
126,random,N7_colored_noise,0.9727450138714032,True,False,False,False,True,False
127,random,N8_measurement_filter,0.6117696327998845,True,False,False,False,True,False
128,random,N1_large_but_finite_AR,0.5794873544204651,True,False,False,False,True,False
129,random,N2_high_dimensional_SSM,0.9614704330430435,True,False,True,False,True,False
130,random,N3_many_exponential_kernel,0.8777158441023578,True,False,False,False,True,False
131,random,N4_slow_common_driver,0.9276907807852395,True,False,False,False,True,False
132,random,N5_nonstationary_drift,0.7581436645166354,False,True,False,False,True,False
133,random,N6_switching_regime,0.8793465771492094,False,True,False,False,True,False
134,random,N7_colored_noise,0.6800059739751487,True,False,False,False,True,False
135,random,N8_measurement_filter,0.5571404949217498,True,False,False,False,True,False
136,random,N1_large_but_finite_AR,0.830284695153009,True,False,False,False,True,False
137,random,N2_high_dimensional_SSM,0.9664630547065086,True,False,True,False,True,False
138,random,N3_many_exponential_kernel,0.8459401166537583,True,False,False,False,True,False
139,random,N4_slow_common_driver,0.7239718925085172,True,False,False,False,True,False
140,random,N5_nonstationary_drift,0.865857345021135,False,True,False,False,True,False
141,random,N6_switching_regime,0.8569919198120941,False,True,False,False,True,False
142,random,N7_colored_noise,0.7535061267254478,True,False,False,False,True,False
143,random,N8_measurement_filter,0.7531472517008133,True,False,False,False,True,False
144,random,N1_large_but_finite_AR,0.8493098138438808,True,False,False,False,True,False
145,random,N2_high_dimensional_SSM,0.6594625236331338,True,False,False,False,True,False
146,random,N3_many_exponential_kernel,0.5627428836117236,True,False,False,False,True,False
147,random,N4_slow_common_driver,0.7243371591061571,True,False,False,False,True,False
148,random,N5_nonstationary_drift,0.8517513134919596,False,True,False,False,True,False
149,random,N6_switching_regime,0.9555957032675724,False,True,False,False,True,False
150,random,N7_colored_noise,0.7190380407034062,True,False,False,False,True,False
151,random,N8_measurement_filter,0.707800285158853,True,False,False,False,True,False
152,random,N1_large_but_finite_AR,0.9611735390337511,True,False,True,False,True,False
153,random,N2_high_dimensional_SSM,0.5979197670436237,True,False,False,False,True,False
154,random,N3_many_exponential_kernel,0.5757112440199613,True,False,False,False,True,False
155,random,N4_slow_common_driver,0.6001614830386919,True,False,False,False,True,False
156,random,N5_nonstationary_drift,0.8385142339606385,False,True,False,False,True,False
157,random,N6_switching_regime,0.6456451102431253,False,True,False,False,True,False
158,random,N7_colored_noise,0.7140838471157768,True,False,False,False,True,False
159,random,N8_measurement_filter,0.9086191020297412,True,False,False,False,True,False
160,random,N1_large_but_finite_AR,0.7125392400456884,True,False,False,False,True,False
161,random,N2_high_dimensional_SSM,0.8625109532520903,True,False,False,False,True,False
162,random,N3_many_exponential_kernel,0.9443110637626679,True,False,False,False,True,False
163,random,N4_slow_common_driver,0.9791125160189817,True,False,False,False,True,False
164,random,N5_nonstationary_drift,0.7796702391885811,False,True,False,False,True,False
165,random,N6_switching_regime,0.7297443787456954,False,True,False,False,True,False
166,random,N7_colored_noise,0.7110666838618789,True,False,False,False,True,False
167,random,N8_measurement_filter,0.6188430645983098,True,False,False,False,True,False
168,random,N1_large_but_finite_AR,0.549401331024183,True,False,False,False,True,False
169,random,N2_high_dimensional_SSM,0.8632158113233278,True,False,False,False,True,False
170,random,N3_many_exponential_kernel,0.631393803441216,True,False,False,False,True,False
171,random,N4_slow_common_driver,0.8779879607306872,True,False,False,False,True,False
172,random,N5_nonstationary_drift,0.8907805591358011,False,True,False,False,True,False
173,random,N6_switching_regime,0.6704244520012815,False,True,False,False,True,False
174,random,N7_colored_noise,0.6072511227271757,True,False,False,False,True,False
175,random,N8_measurement_filter,0.5713578113959835,True,False,False,False,True,False
176,random,N1_large_but_finite_AR,0.7932970164649616,True,False,False,False,True,False
177,random,N2_high_dimensional_SSM,0.7206566492099354,True,False,False,False,True,False
178,random,N3_many_exponential_kernel,0.6041495069106508,True,False,False,False,True,False
179,random,N4_slow_common_driver,0.6826718467021304,True,False,False,False,True,False
180,random,N5_nonstationary_drift,0.7405426274883711,False,True,False,False,True,False
181,random,N6_switching_regime,0.6631047432365968,False,True,False,False,True,False
182,random,N7_colored_noise,0.8656760434352527,True,False,False,False,True,False
183,random,N8_measurement_filter,0.5845863602169957,True,False,False,False,True,False
184,random,N1_large_but_finite_AR,0.9223967858244461,True,False,False,False,True,False
185,random,N2_high_dimensional_SSM,0.8847805220416428,True,False,False,False,True,False
186,random,N3_many_exponential_kernel,0.6887232645971456,True,False,False,False,True,False
187,random,N4_slow_common_driver,0.8557941370174615,True,False,False,False,True,False
188,random,N5_nonstationary_drift,0.6797114499503856,False,True,False,False,True,False
189,random,N6_switching_regime,0.919545286911866,False,True,False,False,True,False
190,random,N7_colored_noise,0.7797419699101856,True,False,False,False,True,False
191,random,N8_measurement_filter,0.6768396145045311,True,False,False,False,True,False
192,random,N1_large_but_finite_AR,0.6673955694644167,True,False,False,False,True,False
193,random,N2_high_dimensional_SSM,0.7913425614322512,True,False,False,False,True,False
194,random,N3_many_exponential_kernel,0.5871160546884585,True,False,False,False,True,False
195,random,N4_slow_common_driver,0.834776949583083,True,False,False,False,True,False
196,random,N5_nonstationary_drift,0.8130796446353057,False,True,False,False,True,False
197,random,N6_switching_regime,0.594804416852478,False,True,False,False,True,False
198,random,N7_colored_noise,0.6621419612209081,True,False,False,False,True,False
199,random,N8_measurement_filter,0.8360079296783963,True,False,False,False,True,False
200,random,N1_large_but_finite_AR,0.7840982167509739,True,False,False,False,True,False
201,random,N2_high_dimensional_SSM,0.8004975116234715,True,False,False,False,True,False
202,random,N3_many_exponential_kernel,0.7602265364713879,True,False,False,False,True,False
203,random,N4_slow_common_driver,0.6595802269424687,True,False,False,False,True,False
204,random,N5_nonstationary_drift,0.9617381498294212,False,True,False,False,True,False
205,random,N6_switching_regime,0.8304974164964689,False,True,False,False,True,False
206,random,N7_colored_noise,0.6559185902211566,True,False,False,False,True,False
207,random,N8_measurement_filter,0.8883502924488262,True,False,False,False,True,False
208,random,N1_large_but_finite_AR,0.9026994399374061,True,False,False,False,True,False
209,random,N2_high_dimensional_SSM,0.7739068197754387,True,False,False,False,True,False
210,random,N3_many_exponential_kernel,0.6760982647400624,True,False,False,False,True,False
211,random,N4_slow_common_driver,0.6036929615765422,True,False,False,False,True,False
212,random,N5_nonstationary_drift,0.7852933933098878,False,True,False,False,True,False
213,random,N6_switching_regime,0.7703494452980945,False,True,False,False,True,False
214,random,N7_colored_noise,0.8935098816650175,True,False,False,False,True,False
215,random,N8_measurement_filter,0.8230803704295807,True,False,False,False,True,False
216,random,N1_large_but_finite_AR,0.6252968507584434,True,False,False,False,True,False
217,random,N2_high_dimensional_SSM,0.9429031163481516,True,False,False,False,True,False
218,random,N3_many_exponential_kernel,0.7905248884379041,True,False,False,False,True,False
219,random,N4_slow_common_driver,0.6967311177002423,True,False,False,False,True,False
220,random,N5_nonstationary_drift,0.9193721972223436,False,True,False,False,True,False
221,random,N6_switching_regime,0.9363613824862558,False,True,False,False,True,False
222,random,N7_colored_noise,0.7265872178111971,True,False,False,False,True,False
223,random,N8_measurement_filter,0.9700177175887766,True,False,False,False,True,False
224,random,N1_large_but_finite_AR,0.8997522296092576,True,False,False,False,True,False
225,random,N2_high_dimensional_SSM,0.8169182738332743,True,False,False,False,True,False
226,random,N3_many_exponential_kernel,0.7196949654681981,True,False,False,False,True,False
227,random,N4_slow_common_driver,0.6345927895026836,True,False,False,False,True,False
228,random,N5_nonstationary_drift,0.6444241182383813,False,True,False,False,True,False
229,random,N6_switching_regime,0.5540341795905401,False,True,False,False,True,False
230,random,N7_colored_noise,0.777174464432193,True,False,False,False,True,False
231,random,N8_measurement_filter,0.7022883749030545,True,False,False,False,True,False
232,random,N1_large_but_finite_AR,0.5919933877631025,True,False,False,False,True,False
233,random,N2_high_dimensional_SSM,0.6796851008857723,True,False,False,False,True,False
234,random,N3_many_exponential_kernel,0.9682740592370347,True,False,False,False,True,False
235,random,N4_slow_common_driver,0.6682087400616251,True,False,False,False,True,False
236,random,N5_nonstationary_drift,0.7033738418233033,False,True,False,False,True,False
237,random,N6_switching_regime,0.8265558287656852,False,True,False,False,True,False
238,random,N7_colored_noise,0.6645825461718818,True,False,False,False,True,False
239,random,N8_measurement_filter,0.9807582405446473,True,False,False,False,True,False
240,random,N1_large_but_finite_AR,0.9638999107454889,True,False,True,False,True,False
241,random,N2_high_dimensional_SSM,0.7869195521867197,True,False,False,False,True,False
242,random,N3_many_exponential_kernel,0.8663189397502807,True,False,False,False,True,False
243,random,N4_slow_common_driver,0.7293071811720586,True,False,False,False,True,False
244,random,N5_nonstationary_drift,0.723290354012103,False,True,False,False,True,False
245,random,N6_switching_regime,0.7354387803147839,False,True,False,False,True,False
246,random,N7_colored_noise,0.645101651812746,True,False,False,False,True,False
247,random,N8_measurement_filter,0.9719644289119328,True,False,False,False,True,False
248,random,N1_large_but_finite_AR,0.7652588717840875,True,False,False,False,True,False
249,random,N2_high_dimensional_SSM,0.6025542153896525,True,False,False,False,True,False
250,random,N3_many_exponential_kernel,0.9545652518844803,True,False,False,False,True,False
251,random,N4_slow_common_driver,0.741056148279715,True,False,False,False,True,False
252,random,N5_nonstationary_drift,0.6921585010609633,False,True,False,False,True,False
253,random,N6_switching_regime,0.7601276592938262,False,True,False,False,True,False
254,random,N7_colored_noise,0.5835006654192211,True,False,False,False,True,False
255,random,N8_measurement_filter,0.683561619169441,True,False,False,False,True,False
256,random,N1_large_but_finite_AR,0.5831972580377663,True,False,False,False,True,False
257,random,N2_high_dimensional_SSM,0.7777159777297625,True,False,False,False,True,False
258,random,N3_many_exponential_kernel,0.6800898841280756,True,False,False,False,True,False
259,random,N4_slow_common_driver,0.8745347380080237,True,False,False,False,True,False
260,random,N5_nonstationary_drift,0.6899793829124233,False,True,False,False,True,False
261,random,N6_switching_regime,0.747803255146019,False,True,False,False,True,False
262,random,N7_colored_noise,0.6283792638458575,True,False,False,False,True,False
263,random,N8_measurement_filter,0.7322178498021121,True,False,False,False,True,False
264,random,N1_large_but_finite_AR,0.880700723373309,True,False,False,False,True,False
265,random,N2_high_dimensional_SSM,0.5648504219300685,True,False,False,False,True,False
266,random,N3_many_exponential_kernel,0.8708811065125912,True,False,False,False,True,False
267,random,N4_slow_common_driver,0.6040450421603418,True,False,False,False,True,False
268,random,N5_nonstationary_drift,0.9465753507137069,False,True,False,False,True,False
269,random,N6_switching_regime,0.7423674006230335,False,True,False,False,True,False
270,random,N7_colored_noise,0.905248336804293,True,False,False,False,True,False
271,random,N8_measurement_filter,0.9652322944874522,True,False,False,False,True,False
272,random,N1_large_but_finite_AR,0.7709142359700231,True,False,False,False,True,False
273,random,N2_high_dimensional_SSM,0.9164523407539413,True,False,False,False,True,False
274,random,N3_many_exponential_kernel,0.8693380990796525,True,False,False,False,True,False
275,random,N4_slow_common_driver,0.8548701643742668,True,False,False,False,True,False
276,random,N5_nonstationary_drift,0.9492580287832691,False,True,False,False,True,False
277,random,N6_switching_regime,0.6110832642388854,False,True,False,False,True,False
278,random,N7_colored_noise,0.8344461422107461,True,False,False,False,True,False
279,random,N8_measurement_filter,0.6338043610514804,True,False,False,False,True,False
280,random,N1_large_but_finite_AR,0.947677329070558,True,False,True,False,True,False
281,random,N2_high_dimensional_SSM,0.6749387327075227,True,False,False,False,True,False
282,random,N3_many_exponential_kernel,0.8288841175980958,True,False,False,False,True,False
283,random,N4_slow_common_driver,0.8672338256444507,True,False,False,False,True,False
284,random,N5_nonstationary_drift,0.7530713183153916,False,True,False,False,True,False
285,random,N6_switching_regime,0.9875559413675298,False,True,False,False,True,False
286,random,N7_colored_noise,0.6023396029733303,True,False,False,False,True,False
287,random,N8_measurement_filter,0.814633630336147,True,False,False,False,True,False
288,random,N1_large_but_finite_AR,0.8785098493981052,True,False,False,False,True,False
289,random,N2_high_dimensional_SSM,0.8244092902540305,True,False,False,False,True,False
290,random,N3_many_exponential_kernel,0.6460695662610423,True,False,False,False,True,False
291,random,N4_slow_common_driver,0.8518458205201441,True,False,False,False,True,False
292,random,N5_nonstationary_drift,0.5780528101746298,False,True,False,False,True,False
293,random,N6_switching_regime,0.9129411909420383,False,True,False,False,True,False
294,random,N7_colored_noise,0.8182167344597545,True,False,False,False,True,False
295,random,N8_measurement_filter,0.9178593728773441,True,False,False,False,True,False
296,random,N1_large_but_finite_AR,0.6949442396224509,True,False,False,False,True,False
297,random,N2_high_dimensional_SSM,0.8547267574755236,True,False,False,False,True,False
298,random,N3_many_exponential_kernel,0.7453127127525515,True,False,False,False,True,False
299,random,N4_slow_common_driver,0.5924037587378337,True,False,False,False,True,False
300,random,N5_nonstationary_drift,0.8645694790378201,False,True,False,False,True,False
301,random,N6_switching_regime,0.9475760759542177,False,True,False,False,True,False
302,random,N7_colored_noise,0.62486514177514,True,False,False,False,True,False
303,random,N8_measurement_filter,0.6359899049762888,True,False,False,False,True,False
304,random,N1_large_but_finite_AR,0.6774621022104866,True,False,False,False,True,False
305,random,N2_high_dimensional_SSM,0.9628588071823451,True,False,True,False,True,False
306,random,N3_many_exponential_kernel,0.8396688104848354,True,False,False,False,True,False
307,random,N4_slow_common_driver,0.8842961214024394,True,False,False,False,True,False
308,random,N5_nonstationary_drift,0.7269778589419931,False,True,False,False,True,False
309,random,N6_switching_regime,0.8202941959730298,False,True,False,False,True,False
310,random,N7_colored_noise,0.9581393732311269,True,False,False,False,True,False
311,random,N8_measurement_filter,0.6025423390568162,True,False,False,False,True,False
312,random,N1_large_but_finite_AR,0.60494647373687,True,False,False,False,True,False
313,random,N2_high_dimensional_SSM,0.7745660545903179,True,False,False,False,True,False
314,random,N3_many_exponential_kernel,0.6057796232895704,True,False,False,False,True,False
315,random,N4_slow_common_driver,0.8596355872756475,True,False,False,False,True,False
316,random,N5_nonstationary_drift,0.7962635948415948,False,True,False,False,True,False
317,random,N6_switching_regime,0.9004271763261663,False,True,False,False,True,False
318,random,N7_colored_noise,0.8177993396220335,True,False,False,False,True,False
319,random,N8_measurement_filter,0.7852140698920657,True,False,False,False,True,False
320,random,N1_large_but_finite_AR,0.7174365977211287,True,False,False,False,True,False
321,random,N2_high_dimensional_SSM,0.7557387725976041,True,False,False,False,True,False
322,random,N3_many_exponential_kernel,0.5887405397971688,True,False,False,False,True,False
323,random,N4_slow_common_driver,0.9694327932015042,True,False,False,False,True,False
324,random,N5_nonstationary_drift,0.6766534713067398,False,True,False,False,True,False
325,random,N6_switching_regime,0.6463625643713976,False,True,False,False,True,False
326,random,N7_colored_noise,0.6088600029657217,True,False,False,False,True,False
327,random,N8_measurement_filter,0.7000789729828233,True,False,False,False,True,False
328,random,N1_large_but_finite_AR,0.8564124781322062,True,False,False,False,True,False
329,random,N2_high_dimensional_SSM,0.6766886641929402,True,False,False,False,True,False
330,random,N3_many_exponential_kernel,0.7214328529824184,True,False,False,False,True,False
331,random,N4_slow_common_driver,0.8487623769548237,True,False,False,False,True,False
332,random,N5_nonstationary_drift,0.7333793167476177,False,True,False,False,True,False
333,random,N6_switching_regime,0.6154901769172284,False,True,False,False,True,False
334,random,N7_colored_noise,0.922435159777568,True,False,False,False,True,False
335,random,N8_measurement_filter,0.7582512693807837,True,False,False,False,True,False
336,random,N1_large_but_finite_AR,0.5867101680759956,True,False,False,False,True,False
337,random,N2_high_dimensional_SSM,0.6766004935803771,True,False,False,False,True,False
338,random,N3_many_exponential_kernel,0.5888601151498919,True,False,False,False,True,False
339,random,N4_slow_common_driver,0.8965175713019443,True,False,False,False,True,False
340,random,N5_nonstationary_drift,0.8364757697376212,False,True,False,False,True,False
341,random,N6_switching_regime,0.8258808963635096,False,True,False,False,True,False
342,random,N7_colored_noise,0.7874840767135288,True,False,False,False,True,False
343,random,N8_measurement_filter,0.6916689626289149,True,False,False,False,True,False
344,random,N1_large_but_finite_AR,0.6906480505064875,True,False,False,False,True,False
345,random,N2_high_dimensional_SSM,0.8947224331930033,True,False,False,False,True,False
346,random,N3_many_exponential_kernel,0.8571369456915484,True,False,False,False,True,False
347,random,N4_slow_common_driver,0.8340395772776787,True,False,False,False,True,False
348,random,N5_nonstationary_drift,0.7917398986658345,False,True,False,False,True,False
349,random,N6_switching_regime,0.6409463024168669,False,True,False,False,True,False
350,random,N7_colored_noise,0.6707339810041018,True,False,False,False,True,False
351,random,N8_measurement_filter,0.8442218952372863,True,False,False,False,True,False
352,random,N1_large_but_finite_AR,0.9213152513179487,True,False,False,False,True,False
353,random,N2_high_dimensional_SSM,0.7583923749137679,True,False,False,False,True,False
354,random,N3_many_exponential_kernel,0.662458011858111,True,False,False,False,True,False
355,random,N4_slow_common_driver,0.614196311120274,True,False,False,False,True,False
356,random,N5_nonstationary_drift,0.6407566251962163,False,True,False,False,True,False
357,random,N6_switching_regime,0.7862165672207507,False,True,False,False,True,False
358,random,N7_colored_noise,0.8582985750481711,True,False,False,False,True,False
359,random,N8_measurement_filter,0.6576882114453038,True,False,False,False,True,False
360,random,N1_large_but_finite_AR,0.6481861068802154,True,False,False,False,True,False
361,random,N2_high_dimensional_SSM,0.7162172935542579,True,False,False,False,True,False
362,random,N3_many_exponential_kernel,0.5762341767705753,True,False,False,False,True,False
363,random,N4_slow_common_driver,0.7949765628141798,True,False,False,False,True,False
364,random,N5_nonstationary_drift,0.7684424997327094,False,True,False,False,True,False
365,random,N6_switching_regime,0.6829470111221057,False,True,False,False,True,False
366,random,N7_colored_noise,0.8633265535289796,True,False,False,False,True,False
367,random,N8_measurement_filter,0.8070065563477424,True,False,False,False,True,False
368,random,N1_large_but_finite_AR,0.8042942507159349,True,False,False,False,True,False
369,random,N2_high_dimensional_SSM,0.920856800336926,True,False,False,False,True,False
370,random,N3_many_exponential_kernel,0.8356063443724412,True,False,False,False,True,False
371,random,N4_slow_common_driver,0.6452903880959479,True,False,False,False,True,False
372,random,N5_nonstationary_drift,0.7706228660460956,False,True,False,False,True,False
373,random,N6_switching_regime,0.6825042855181574,False,True,False,False,True,False
374,random,N7_colored_noise,0.9814161297346774,True,False,False,False,True,False
375,random,N8_measurement_filter,0.8608150617925366,True,False,False,False,True,False
376,random,N1_large_but_finite_AR,0.9535983670811261,True,False,True,False,True,False
377,random,N2_high_dimensional_SSM,0.6582414160864765,True,False,False,False,True,False
378,random,N3_many_exponential_kernel,0.7183246473109782,True,False,False,False,True,False
379,random,N4_slow_common_driver,0.6456402566143864,True,False,False,False,True,False
380,random,N5_nonstationary_drift,0.7588876589100351,False,True,False,False,True,False
